name, expansion, army_type, unique_unit, unique_tech, team_bonus, civilization_bonus
Aztecs, The Conquerors, Infantry and Monk, Jaguar Warrior, Garland Wars, Relics generate +33% gold, Villagers carry +5;Military units created 15% faster;+5 Monk hit points for each Monastery technology;Loom free
Britons, Age of Kings, Foot Archer, Longbowman, Yeomen, Archery Ranges work 20% faster, Town Centers cost -50% wood upon reaching the Castle Age;Foot archers (excluding Skirmishers) have +1 range in Castle Age and +1 in Imperial Age (for +2 total);Shepherds work 25% faster
Byzantines, Age of Kings, Defensive, Cataphract, Logistica, Monks +50% heal speed, Buildings (except gates) have +10% HP in Dark Age / +20% HP in Feudal Age  / +30% in Castle Age / +40% in Imperial Age;Spearman skirmisher and camel lines cost 25% less;Fire Ships attack 20% faster;Imperial Age costs -33%;Town Watch is free
Celts, Age of Kings, Infantry, Woad Raider, Furor Celtica, Siege Workshops work 20% faster, Infantry moves 15% faster;Lumberjacks work 15% faster;Siege weapons reload 20% faster;Sheep cannot be stolen if within one Celt unit's line of sight
Chinese, Age of Kings, Archer, Chu Ko Nu, Rocketry, Farms provide +45 food, Start game with 3 extra villagers but -50 wood and -200 food;Technologies cost -10% in Feudal Age/ -15% in Castle Age/-20% in Imperial Age;Town Centers support 10 population instead of 5;Demolition Ships have +50% HP
Franks, Age of Kings, Cavalry, Throwing Axeman, Bearded Axe, Knights have +2 line of sight,Castles are 25% cheaper;Knights have +20% HP;Farm upgrades are free (Mill is required to receive bonus)
Goths, Age of Kings, Infantry, Huskarl, Anarchy;Perfusion,Barracks operate 20% faster,Infantry cost 35% less (starting in Feudal Age);Infantry have +1 attack against buildings;Villagers have +5 attack versus wild boar;Hunters carry +15 meat;+10 to population limit in Imperial Age
Huns, The Conquerors, Cavalry, Tarkan, Atheism, Stables are 20% faster,Houses are not required to support population;Start game with -100 Wood;Cavalry Archers cost -25% in Castle Age/ -30% in Imperial Age;Trebuchets are 35% more accurate.
Japanese, Age of Kings, Infantry, Samurai, Kataparuto, Galleys have +50% line of sight, Fishing Ships have 2x HP and +2 pierce armor;Fishing Ships work +5% faster in Dark Age/ +10% in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age;Lumber Camps / Mining Camps / Mills are 50% cheaper;Infantry attack 25% faster (starting in Feudal Age)
Koreans, The Conquerors, Tower and naval, War Wagon;Turtle Ship, Shinkichon, Mangonel line has +1 range, Villagers have +3 line of sight;Stone miners work 20% faster;Guard Tower and Keep upgrades are free;Towers (except bombard towers) have +1 range in Castle Age/ +2 in Imperial Age
Mayans, The Conquerors, Archer, Plumed Archer, El Dorado, Walls are 50% cheaper,Start game with 1 extra villager but -50 food;Natural resources last 20% longer;Archers cost -10% in Feudal Age/ -20% in Castle Age/ -30% in Imperial Age
Mongols, Age of Kings, Cavalry Archer, Mangudai, Drill, Scout line has +2 Line of sight,Cavalry Archers reload 20% faster;Light Cavalry and Hussars have +30% HP;Hunters work 50% faster
Persians, Age of Kings, Cavalry, War Elephant, Mahouts, Knights have +2 attack versus Archers,Start game with +50 wood and food;Town Center and Docks have 2x HP;Town Centers and Docks operate +10% faster in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age
Saracens, Age of Kings, Camel and naval, Mameluke, Zealotry, Foot archers have +2 attack bonus against buildings,Market trade cost is only 5%;Transport Ships have 2x HP and carry capacity;Galleys attack 20% faster;Cavalry Archers have +4 attack bonus against buildings
Spanish, The Conquerors, Gunpowder and Monk, Conquistador;Missionary, Supremacy, Trade units generate +33% Gold,Villagers construct buildings 30% faster;Blacksmith upgrades do not cost any gold;Cannon Galleons benefit from Ballistics (less reload time and more accuracy);Hand Cannoneers and Bombard Cannons reload 15% faster
Teutons, Age of Kings, Infantry, Teutonic Knight, Crenellations, Units are more resistant to conversion, Monks have 2x healing range;Towers can garrison 2x units (more arrows);Murder Holes is free;Farms cost 33% less;Town Centers have +1 attack and +5 line of sight
Turks, Age of Kings, Gunpowder, Janissary, Artillery, Gunpowder units are created 20% faster,Gunpowder Units have +25% HP;Gunpowder technologies cost 50% less;Chemistry is free;Gold miners work 15% faster;Light Cavalry and Hussar upgrades are free
Vikings, Age of Kings, Infantry and naval, Berserk;Longboat, Berserkergang, Docks are 25% cheaper,Warships cost 20% less;Infantry have +10% HP in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age;Wheelbarrow and Hand Cart are free
